id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/1684873	10.2307/1684873	Disease Center Will Fund Love Canal Research	Eliot Marshall	Science	210	4467	1980-10-17T00:00:00Z	p. 295	American Association for the Advancement of Science	nws			
10.2307/40210122	10.2307/40210122	To Russia with Love: A Plea for Normalcy	Isaac Shapiro	World Policy Journal	25	4	2008-12-01T00:00:00Z	pp. 63-73	Sage Publications, Inc.	fla			
10.2307/20600325	10.2307/20600325	Sex without Love	Jonathan Holden	Poetry	146	3	1985-06-01T00:00:00Z	pp. 146-147	Poetry Foundation	fla			
10.2307/40639952	10.2307/40639952	Late Love	Ellen Doré Watson	Prairie Schooner	83	3	2009-10-01T00:00:00Z	pp. 40-41	University of Nebraska Press	fla			
10.2307/20604918	10.2307/20604918	Of Haunting Absence, of Intense Presence: The Mysterious Metaphysical Love Poetry of Eugenio Montale	John Taylor	Poetry	175	5	2000-03-01T00:00:00Z	pp. 328-333	Poetry Foundation	brv	Collected Poems: 1920-1954|Eugenio Montale;Jonathan Galassi, Satura: 1962-1970|Eugenio Montale;William Arrowsmith		
10.2307/23023832	10.2307/23023832	FOR THE LOVE OF BOOKS: No Longer Strangers: Books about Refugees for Middle School Readers	Jane M. Vossler	Middle School Journal	29	1	1997-09-01T00:00:00Z	pp. 52-56	Association for Middle Level Education (AMLE)	brv			
10.2307/41389596	10.2307/41389596	Krens's Taj Mahal: The Guggenheim's Global Love Museum	Joseba Zulaika	Discourse	23	1	2001-01-01T00:00:00Z	pp. 100-118	Wayne State University Press	fla			
10.2307/4020468	10.2307/4020468	The Pursuit of Love	Terry Castle	The Women's Review of Books	6	4	1989-01-01T00:00:00Z	pp. 6-7	Old City Publishing, Inc.	brv	I Know My Own Heart: The Diaries of Anne Lister (1791-1840)|Anne Lister;Helena Whitbread		
10.2307/20594445	10.2307/20594445	Sometimes a Woman Wants a Love without Landscapes	Sarah Provost	Poetry	139	6	1982-03-01T00:00:00Z	p. 327	Poetry Foundation	fla			
10.2307/23581024	10.2307/23581024	Cinematographic Variations on the Christ-Event: Three Film Texts by Krzysztof Kieślowski: Part One: "A Short Film about Love"	Lloyd Baugh	Gregorianum	84	3	2003-01-01T00:00:00Z	pp. 551-583		fla		La vita di Gesù e l'evento-Cristo costituiscono temi ricorrenti nell'arte cinematografica fin dai suoi esordi, oggetto di rappresentazioni sia letterali che metaforiche. Nel sesto episodio della sua pluripremiata serie Decalogo, il regista polacco Krzysztof Kielowski narra di una storia d'amore fuori del comune, al cui interno elabora una complessa metafora dell'evento-Cristo. Il film, coi titoli Decalogo sei oppure Breve film sull'amore (Non desiderare la donna d'altri), è notevole ed è di particolare interesse per la ricerca perché esiste in tre versioni: la sceneggiatura pubblicata, la versione filmica breve di cinquantatre minuti e la versione (originale) lunga di ottantacinque. Il saggio è perciò suddiviso in due parti. Nella prima pubblicata in questo numero di Gregorianum, inizialmente si analizzano la narrazione di base del film e l'orientamento generale della sua tematica cristica. In seguito, ci si dedica ad una considerazione più dettagliata della versione originale e lunga del film, Un breve film sull'amore, che rappresenta la più completa delle rappresentazioni cristologiche. Nel prossimo numero di Gregorianum, la seconda parte del saggio analizza per contro le altre due versioni del film, Decalogo sei e la sceneggiatura, indicando come le differenze tra questi due testi e la versione originale del film creino sia sottili che drammatiche divergenze nelle loro rappresentazioni cristologiche. Infine, sono presi in esame il prologo e l'epilogo della versione originale, notando in dettaglio quanto essi conferiscano a questa versione del film un significato teologico più complesso e profondo delle altre due versioni.	
10.2307/40251335	10.2307/40251335	Love, Lust, and the Law: Sexual Harassment in the Academy	Jonathan R. Alger	Academe	84	5	1998-09-01T00:00:00Z	pp. 34-39	American Association of University Professors	fla			
10.2307/20590783	10.2307/20590783	Love Poem	Patrick Anderson	Poetry	73	6	1949-03-01T00:00:00Z	pp. 324-325	Poetry Foundation	fla			
10.2307/3817614	10.2307/3817614	Love in All Its Oddness: The Affections in Women's Private Poetry of the Eighteenth Century	Margaret A. Doody	Huntington Library Quarterly	63	4	2000-01-01T00:00:00Z	pp. 491-508	University of California Press	fla			
10.2307/3713856	10.2307/3713856	"Edmond Ironside" and "The Love-Sick King"	M. Hope Dodds	The Modern Language Review	19	2	1924-04-01T00:00:00Z	pp. 158-168	Modern Humanities Research Association	fla			
10.2307/4488507	10.2307/4488507	Make Love	Karen Finley	TDR (1988-)	47	4	2003-12-01T00:00:00Z	pp. 51-69	The MIT Press	fla		Finley's newest performance piece begins in a lounge where spectators are gathered for an evening of soft music. "It was such a beautiful day for a tragedy," intones Finley. Then: "Don't you wish for the time when the problem was who is sucking Clinton's dick!!" From there, in her inimitable way, Finley invokes post-9/11 America, fusing her personal with our collective political.	
10.2307/3747901	10.2307/3747901	Conscience and Self-Love in Butler's Sermons	Alan R. White	Philosophy	27	103	1952-10-01T00:00:00Z	pp. 329-344	Cambridge University Press, Royal Institute of Philosophy	fla			
10.2307/4230323	10.2307/4230323	Marriage among the Believers: A Love Story	David Borofka	Manoa	16	2	2004-12-01T00:00:00Z	pp. 21-37	University of Hawai'i Press	fla			
10.2307/23232685	10.2307/23232685	The Anti-Empire of General de Boigne: Sentimentalism, Love, and Cultural Difference in the Eighteenth Century	William M. Reddy	Historical Reflections / Réflexions Historiques	34	1	2008-04-01T00:00:00Z	pp. 4-25		fla		Sentimentalism became a widely accepted practical code among the educated European elite in the late eighteenth century. In the 1790s, however, it went into rapid decline. One reason is that when Europeans tried to establish families and polities in line with the dictates of sentimentalism, these efforts often ended in failure. A noteworthy example is provided by the career of Benoît Leborgne, later known as Bennett de Boigne, who rose to fame as a soldier of fortune in India, founding a kind of anti-empire in collaboration with Mahadaji Sindhia between 1784 and 1795. The collapse of his state building efforts— and of his marriages—clearly demonstrate the pitfalls of "following one's heart" in the eighteenth-century manner.	
10.2307/3235376	10.2307/3235376	Hume on Pride and Love of Fame	Robert A. Manzer	Polity	28	3	1996-04-01T00:00:00Z	pp. 333-355	Palgrave Macmillan Journals	fla		Though resting liberal constitutionalism on appeals to human passion, David Hume was not as dismissive of human virtue as some contemporary critics contend. Rather, he sought to preserve a place for virtue in the private sphere of honor and character, where they would help prevent the excesses of libertinism. This article explores Hume's understanding of how pride and the desire for fame help elevate the character of liberal commercial society and then explores his responses to the problems that arise because pride and love of fame are not fully compatible with the egalitarian and humanitarian ethos of liberal constitutionalism.	
10.2307/30036510	10.2307/30036510	New Writings on Love, Sex and Kisses	Natalia Gerodetti	Journal of Contemporary History	43	2	2008-04-01T00:00:00Z	pp. 343-351	Sage Publications, Ltd.	brv	Modern Love: An Intimate History of Men and Women in Twentieth Century Britain|Marcus Collins, Outspoken Women: An Anthology of Women's Writing on Sex, 1870-1969|Lesley Hall, The Kiss in History|Karen Harvey, Love for Sale: A Global History of Prostitution|Nils Ringdal		
10.2307/3879880	10.2307/3879880	"The Morning After": Travail of Sexuality and Love in Modern Iran	Afsaneh Najmabadi	International Journal of Middle East Studies	36	3	2004-08-01T00:00:00Z	pp. 367-385	Cambridge University Press	fla			
10.2307/20592492	10.2307/20592492	Erasmus in Love	Frank Manley	Poetry	129	2	1976-11-01T00:00:00Z	pp. 83-86	Poetry Foundation	fla			
10.2307/3405767	10.2307/3405767	The Love Story of Florence Nightingale	Elisabeth Robinson Scovil	The American Journal of Nursing	17	3	1916-12-01T00:00:00Z	pp. 209-212	Lippincott Williams & Wilkins	fla			
10.2307/23007609	10.2307/23007609	Cathleen Schine's "The Love Letter"	CATHERINE CARTER	Agni		42	1995-01-01T00:00:00Z	pp. 189-191	Agni	brv	The Love Letter|Cathleen Schine		
10.2307/30039383	10.2307/30039383	A Reading of Love in Höderlin's "Andenken"	Katrin Pahl	The German Quarterly	78	2	2005-04-01T00:00:00Z	pp. 192-206	American Association of Teachers of German, Wiley	fla		At the heart of my reading of Hölderlin's poem "Andenken" lies the question of mutuality: how best to understand mutuality and how to realize it. I will read the blowing of the wind presented by "Andenken" as a conversation between lovers—indeed as the intersection of two conversations, one between Friedrich Hölderlin and Susette Gontard, and one between the poet and the reader. Drawing on my unconventional rendition of Hegel's theory of recognition, I develop a theory of reading that calls on the reader to contribute to the poem's efforts to facilitate a love that is mutual. In a further multiplication of crossed couples, the human lovers are interlaced with the poem's several pairs of trees until finally a Gespräch not so much in, but among words, emerges.	
10.2307/40664254	10.2307/40664254	Tough Love: Professional Lessons for Graduate Students	Kevin D. Haggerty	The American Sociologist	41	1	2010-03-01T00:00:00Z	pp. 82-96	American Sociological Association, Springer	fla		This article aims to demystify some of the realities of graduate education for the next generation of professors in the humanities and social sciences. Its ' tell it like it is' orientation is designed to ensure that graduate students have a firm understanding of the institution they are entering, and will hopefully help them avoid any number of missteps. Topics discussed include supervisor/student dynamics, conferences, writing practices, academic reputation and perseverance.	
10.2307/27776926	10.2307/27776926	Reading An Old Love Poem	ROBERT BLY	The American Poetry Review	11	3	1982-05-01T00:00:00Z	p. 18	American Poetry Review	fla			
10.2307/41177309	10.2307/41177309	Love — or Power —— in Being?	Herta Pauly	The Christian Scholar	45	4	1962-12-01T00:00:00Z	pp. 337-340	Penn State University Press	brv	The Metaphysics of Love|Frederick D. Wilhelmsen		
10.2307/20158203	10.2307/20158203	Love Notes from the Shiftless	Albert Goldbarth	The Iowa Review	5	2	1974-04-01T00:00:00Z	pp. 10-11	University of Iowa	fla			
10.2307/906619	10.2307/906619	The Links O' Love. Four-Part Song	A. Wanless, J. B. McEwen	The Musical Times	50	795	1909-05-01T00:00:00Z	pp. 321-325	Musical Times Publications Ltd.	fla			
10.2307/40248082	10.2307/40248082	Comment: "I Love How They Always Put the "Shes" In"	Erick Smith	For the Learning of Mathematics	13	2	1993-06-01T00:00:00Z	p. 26	FLM Publishing Association	fla			
10.1086/652432	10.1086/652432	Make Love Not War: When Should Less Competitive Males Choose Low‐Quality but Defendable Females?	Samuel Venner, Carlos Bernstein, Stéphane Dray, Marie‐Claude Bel‐Venner	The American Naturalist	175	6	2010-06-01T00:00:00Z	pp. 650-661	The American Society of Naturalists, The University of Chicago Press	fla		Abstract:    Male choosiness for mates is an underexplored mechanism of sexual selection. A few theoretical studies suggest that males may exhibit—but only under rare circumstances—a reversed male mate choice (RMMC; i.e., highly competitive males focus on the most fecund females, while the low‐quality males exclusively pair with less fecund mates to avoid being outcompeted by stronger rivals). Here we propose a new model to explore RMMC by relaxing some of the restrictive assumptions of the previous models and by considering an extended range of factors known to alter the strength of sexual selection (males’ investment in reproduction, difference of quality between females, operational sex ratio). Unexpectedly, we found that males exhibited a reversed mate choice under a wide range of circumstances. RMMC mostly occurs when the female encounter rate is high and males devote much of their time to breeding. This condition‐dependent strategy occurs even if there is no risk of injury during the male‐male contest or when the difference in quality between females is small. RMMC should thus be a widespread yet underestimated component of sexual selection and should largely contribute to the assortative pairing patterns observed in numerous taxa.	
10.2307/25383453	10.2307/25383453	W. G. Love, M.B., Ch.B.		The British Medical Journal	2	5039	1957-08-03T00:00:00Z	p. 302	BMJ Publishing Group	nws			
10.2307/4610631	10.2307/4610631	The Tunnel of Love	Dabney Stuart	The Antioch Review	24	4	1964-12-01T00:00:00Z	p. 462	Antioch Review, Inc.	fla			
10.2307/3042721	10.2307/3042721	Nature and Love in the Late Middle Ages	Richard H. Green	MLN	79	1	1964-01-01T00:00:00Z	pp. 58-70	The Johns Hopkins University Press	brv	Nature and Love in the Late Middle Ages|Aldo D. Scaglione		
